episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
40,1.0,3.1999523459206736,0.6833327361061126,0.25734772086778473,30.0,1.0,9,0.0,False,True,0.7917952630591091,1,17.709159380834848,177.527,prepare,0.0
40,2.0,3.199835124426356,0.6831683224490004,0.20466749737650877,0.0,1.0,5,1.0,False,True,0.7911303710457044,1,17.709159380834848,177.596,in_progress,0.0
40,3.0,3.2063101488431975,0.681540990656543,-0.2918347811974415,-30.0,0.5,0,1.0,False,True,0.8276639296939607,1,17.709159380834848,177.651,in_progress,0.0
40,4.0,3.2209262565748014,0.6773287912677765,-1.242142893690621,30.0,0.5,8,1.0,False,True,0.9101765103560708,1,17.709159380834848,177.724,in_progress,0.0
40,5.0,3.2457080751015757,0.6768884024323949,-1.296607180040986,30.0,0.5,8,1.0,False,True,1.0501103974038972,1,17.709159380834848,177.787,in_progress,0.0
40,6.0,3.289134374989105,0.6927795411948277,2.6136825998637523,15.0,0.5,6,1.0,False,True,1.2954669542523756,2,17.709159380834848,177.865,in_progress,0.0
40,7.0,3.309022476560839,0.7047273066521691,5.344338664234649,-30.0,0.5,0,1.0,False,True,1.4078741776206263,2,17.709159380834848,177.922,in_progress,0.0
40,8.0,3.3442012518391357,0.7167348798455166,7.455953500085581,-30.0,1.0,1,1.0,False,True,1.6066251231010635,2,17.709159380834848,177.997,in_progress,0.0
40,9.0,3.387876205032698,0.7124736057544118,5.089570480276396,30.0,1.0,9,1.0,False,True,1.8530016527050992,2,17.709159380834848,178.063,in_progress,0.0
40,10.0,3.430145212544699,0.7103059742146444,3.670142063245434,-15.0,0.5,2,1.0,False,True,2.091682979641054,2,17.709159380834848,178.123,in_progress,0.0
40,11.0,3.480092169841846,0.7129446061100382,3.712231657067093,-30.0,1.0,1,1.0,False,True,2.3737269975615973,3,17.709159380834848,178.196,in_progress,0.0
40,12.0,3.5275708701869064,0.7080991623887938,1.8204615332507341,30.0,0.5,8,1.0,False,True,2.641842370118451,3,17.709159380834848,178.263,in_progress,0.0
40,13.0,3.576774366295774,0.6974933557712185,-1.0936807747614214,0.0,1.0,5,1.0,False,True,2.9196607318204855,3,17.709159380834848,178.322,in_progress,0.0
40,14.0,3.62600491127855,0.696207089752682,-1.1211419457812046,15.0,1.0,7,1.0,False,True,3.1976526523173594,4,17.709159380834848,178.4,in_progress,0.0
40,15.0,3.688951550506132,0.7052093567984286,1.2441448331200131,0.0,1.0,5,1.0,False,True,3.55311684203025,4,17.709159380834848,178.467,in_progress,0.0
40,16.0,3.7545122644592945,0.7164653732204309,3.42160307729536,0.0,1.0,5,1.0,False,True,3.9233485091403573,5,17.709159380834848,178.531,in_progress,0.0
40,17.0,3.8151201971119195,0.7236642887029533,4.227219502460886,-30.0,1.0,1,1.0,False,True,4.265598409123948,5,17.709159380834848,178.595,in_progress,0.0
40,18.0,3.8823775161919327,0.723532593397877,3.0945320988660083,15.0,0.5,6,1.0,False,True,4.645386448487803,5,17.709159380834848,178.667,in_progress,0.0
40,19.0,3.95012157459619,0.7179019034638616,0.7606772140385658,-15.0,0.5,2,1.0,False,True,5.027912203646171,6,17.709159380834848,178.728,in_progress,0.0
40,20.0,3.9998436188253974,0.7151947448786173,-0.010085525291103218,15.0,1.0,7,1.0,False,True,5.308677009212047,6,17.709159380834848,178.793,in_progress,0.0
40,21.0,4.0583831204675285,0.713971582385434,-0.28125638621481847,15.0,1.0,7,1.0,False,True,5.639235178900137,7,17.709159380834848,178.863,in_progress,0.0
40,22.0,4.121925845402577,0.7262822774648443,2.593463843489127,30.0,0.5,8,1.0,False,True,5.998073589296183,7,17.709159380834848,178.932,in_progress,0.0
40,23.0,4.175474429349628,0.7456181365367265,6.470224132189883,30.0,0.5,8,1.0,False,True,6.300490090410109,7,17.709159380834848,178.988,in_progress,0.0
40,24.0,4.221644960866076,0.76668700655617,10.104705318677723,0.0,0.5,4,0.5,False,True,6.561247703031034,8,17.709159380834848,179.065,in_progress,0.0
40,25.0,4.261833578096455,0.7847605482691771,12.640743570498373,-15.0,1.0,3,0.5,False,True,6.788224038654034,8,17.709159380834848,179.133,in_progress,0.0
40,26.0,4.308802471759547,0.7939294574379022,12.275865947415141,-30.0,1.0,1,0.5,False,True,7.05346637286379,8,17.709159380834848,179.192,in_progress,0.0
40,27.0,4.36181347846233,0.7889091927372652,8.497821591700918,-15.0,1.0,3,0.5,False,True,7.352798469202355,9,17.709159380834848,179.24,in_progress,0.0
40,28.0,4.416402443225602,0.7768643295473222,3.7292762765663885,0.0,1.0,5,0.5,False,True,7.6610246143793415,9,17.709159380834848,179.331,in_progress,0.0
40,29.0,4.4868779045473435,0.7685058373168029,0.9274852173502498,0.0,0.5,4,0.5,False,True,8.058968316582558,10,17.709159380834848,179.385,in_progress,0.0
40,30.0,4.543126389195838,0.7647876406745256,-0.17990013784961686,-15.0,1.0,3,0.5,False,True,8.376584515294812,10,17.709159380834848,179.468,in_progress,0.0
40,31.0,4.599485736943242,0.753804031969705,-2.746970673209064,-30.0,0.5,0,1.0,False,True,8.69481686626041,10,17.709159380834848,179.534,in_progress,0.0
40,32.0,4.665373182667595,0.7296542860033096,-7.594160858474122,-15.0,1.0,3,1.0,False,True,9.066819644561349,11,17.709159380834848,179.596,in_progress,0.0
40,33.0,4.707001634220774,0.7077709805957235,-11.414728372599814,-30.0,1.0,1,1.0,False,True,9.301841559067656,11,17.709159380834848,179.667,in_progress,0.0
